Chicken Breast (cooked), 165, 31, 0, 3.6
Brown Rice (cooked), 122, 2.6, 25.6, 1
Banana, 89, 1.1, 23, 0.3
Almonds, 579, 21, 22, 49
Salmon (cooked), 206, 22, 0, 12
Broccoli (cooked), 35, 2.4, 7.2, 0.4
Eggs (boiled), 155, 13, 1.1,	11
Quinoa (cooked),	120,	4.4,	21.3,	1.9
Avocado,	160,	2,	9,	15
Beef Steak (cooked),	271,	26,	0,	18
Cucumber (raw),	90,	2,	20.7,	0.2
Pork Loin (cooked),	23,	3,	3.8,	0.4
Turkey Breast (cooked),	71,	2.5,	12,	1.5
Raspberries (raw),	144,	17,	3.5,	8.7
Black Beans (cooked),	52,	0.3,	14,	0.2
Walnuts,	59,	10,	3.6,	0.4
Rye Bread,	402,	25,	1.3,	33
Parmesan Cheese,	247,	13,	41,	3.4
Shrimp (cooked),	116,	9,	20,	0.4
Pumpkin Seeds,	209,	26,	0,	10.9
Cod (cooked),	588,	25,	20,	50
Mango (raw),	28,	1.9,	5.6,	0.4
Zucchini (cooked),	35,	0.8,	8.2,	0.2
Milk (whole),	87,	1.9,	20.1,	0.1
Yogurt (low fat),	18,	0.9,	3.9,	0.2
Cottage Cheese (low fat),	160,	9.9,	12.1,	5.5
Soy Milk,	170,	10.8,	13.2,	6
Tuna (canned in water),	180,	11.7,	14.3,	6.5
Olive Oil,	190,	12.6,	15.4,	7
White Rice (cooked),	200,	13.5,	16.5,	7.5
Garlic (raw),	210,	14.4,	17.6,	8
Onion (raw),	220,	15.3,	18.7,	8.5
Maple Syrup,	230,	16.2,	19.8,	9
Corn (cooked),	240,	17.1,	20.9,	9.5
Peaches (raw),	250,	18,	22,	10
Grapes (raw),	260,	18.9,	23.1,	10.5
Flaxseeds,	270,	19.8,	24.2,	11
Hazelnuts,	280,	20.7,	25.3,	11.5
Sunflower Seeds,	290,	21.6,	26.4,	12
Green Peas (cooked),	300,	22.5,	27.5,	12.5
Asparagus (cooked),	310,	23.4,	28.6,	13
Papaya (raw),	320,	24.3,	29.7,	13.5
Mushrooms (raw),	330,	25.2,	30.8,	14
Coconut Oil,	340,	26.1,	31.9,	14.5
Butter,	350,	27,	33,	15
Goat Cheese,	360,	27.9,	34.1,	15.5
Pasta (cooked),	370,	28.8,	35.2,	16
Spinach (raw),	380,	29.7,	36.3,	16.5
Beetroot (cooked),	390,	0.6,	37.4,	17
Brussels Sprouts (cooked),	400,	1.5,	38.5,	17.5
Blueberries (raw),	410,	2.4,	39.6,	18
Strawberries (raw),	420,	3.3,	40.7,	18.5
Kiwi (raw),	430,	4.2,	41.8,	19
Sardines (canned),	440,	5.1,	42.9,	19.5
Cashews,	450,	6,	44,	0
Macadamia Nuts,	460,	6.9,	45.1,	0.5
Pineapple (raw),	470,	7.8,	46.2,	1
Orange (raw),	480,	8.7,	47.3,	1.5
Plum (raw),	490,	9.6,	48.4,	2
Lemon (raw),	500,	10.5,	49.5,	2.5
Lamb (cooked),	510,	11.4,	0.6,	3
Venison (cooked),	520,	12.3,	1.7,	3.5
Squid (cooked),	530,	13.2,	2.8,	4
Octopus (cooked),	540,	14.1,	3.9,	4.5
Rabbit (cooked),	50,	15,	5,	5
Duck (cooked),	60,	15.9,	6.1,	5.5
Goose (cooked),	70,	16.8,	7.2,	6
Pheasant (cooked),	80,	17.7,	8.3,	6.5
Quail (cooked), 90, 18.6, 9.4, 7
Swiss Cheese, 100, 19.5, 10.5, 7.5
Emmental Cheese,	110,	20.4,	11.6,	8
Cabbage (cooked),	120,	21.3,	12.7,	8.5
Celery (raw),	130,	22.2,	13.8,	9
Bell Pepper (raw),	140,	23.1,	14.9,	9.5
Chilli Pepper (raw),	150,	24,	16,	10
Sweet Corn (raw),	160,	24.9,	17.1,	10.5
Radish (raw),	170,	25.8,	18.2,	11
Turnip (cooked),	180,	26.7,	19.3,	11.5
Parsnip (cooked),	190,	27.6,	20.4,	12
Sweet Potato (raw),	200,	28.5,	21.5,	12.5
Watermelon (raw),	210,	29.4,	22.6,	13
Cantaloupe (raw),	220,	0.3,	23.7,	13.5
Honeydew (raw),	230,	1.2,	24.8,	14
Durian (raw),	240,	2.1,	25.9,	14.5
Starfruit (raw),	250,	3,	27,	15
Lychee (raw),	260,	3.9,	28.1,	15.5
Cherimoya (raw),	270,	4.8,	29.2,	16
Fig (raw),	280,	5.7,	30.3,	16.5
Date (raw),	290,	6.6,	31.4,	17
Guava (raw),	300,	7.5,	32.5,	17.5
Passion Fruit (raw),	310,	8.4,	33.6,	18
Dragon Fruit (raw),	320,	9.3,	34.7,	18.5
Jackfruit (raw),	330,	10.2,	35.8,	19
Pomegranate (raw),	340,	11.1,	36.9,	19.5
Apricot (raw),	350,	12,	38,	0
Pear (raw),	360,	12.9,	39.1,	0.5
Pralines,	370,	13.8,	40.2,	1
Dark Chocolate,	380,	14.7,	41.3,	1.5
Biscuits,	390,	15.6,	42.4,	2
Gelato,	400,	16.5,	43.5,	2.5
